true_intent,pred_intent,true_id,pred_id,count
exchange_rate,card_payment_wrong_exchange_rate,32,17,9
transfer_fee_charged,extra_charge_on_statement,64,34,6
virtual_card_not_working,getting_virtual_card,72,40,6
pin_blocked,get_physical_card,49,38,5
unable_to_verify_identity,why_verify_identity,68,74,5
direct_debit_payment_not_recognised,card_payment_not_recognised,28,16,4
pending_cash_withdrawal,declined_cash_withdrawal,46,26,4
wrong_exchange_rate_for_cash_withdrawal,wrong_amount_of_cash_received,76,75,4
beneficiary_not_allowed,failed_transfer,7,35,3
card_payment_wrong_exchange_rate,wrong_exchange_rate_for_cash_withdrawal,17,76,3
change_pin,pin_blocked,21,49,3
declined_card_payment,reverted_card_payment?,25,53,3
disposable_card_limits,get_disposable_virtual_card,29,37,3
exchange_via_app,exchange_charge,33,31,3
get_disposable_virtual_card,disposable_card_limits,37,29,3
pending_top_up,top_up_failed,47,59,3
pending_transfer,balance_not_updated_after_bank_transfer,48,5,3
supported_cards_and_currencies,fiat_currency_support,54,36,3
top_up_by_bank_transfer_charge,top_up_by_card_charge,56,57,3
top_up_failed,pending_top_up,59,47,3
topping_up_by_card,top_up_reverted,62,61,3
transfer_not_received_by_recipient,pending_transfer,66,48,3
why_verify_identity,unable_to_verify_identity,74,68,3
activate_my_card,card_arrival,0,11,2
activate_my_card,card_not_working,0,14,2
automatic_top_up,top_up_limits,4,60,2
card_about_to_expire,card_arrival,9,11,2
card_acceptance,card_arrival,10,11,2
card_delivery_estimate,lost_or_stolen_card,12,41,2
card_not_working,declined_card_payment,14,25,2
card_payment_fee_charged,cash_withdrawal_charge,15,19,2
card_payment_not_recognised,card_payment_fee_charged,16,15,2
card_payment_wrong_exchange_rate,exchange_charge,17,31,2
cash_withdrawal_charge,card_payment_fee_charged,19,15,2
compromised_card,card_payment_not_recognised,22,16,2
declined_cash_withdrawal,card_not_working,26,14,2
direct_debit_payment_not_recognised,extra_charge_on_statement,28,34,2
extra_charge_on_statement,card_payment_fee_charged,34,15,2
get_disposable_virtual_card,getting_virtual_card,37,40,2
order_physical_card,card_linking,43,13,2
order_physical_card,request_refund,43,52,2
pending_transfer,transfer_timing,48,67,2
reverted_card_payment?,declined_card_payment,53,25,2
top_up_by_bank_transfer_charge,transfer_fee_charged,56,64,2
top_up_limits,top_up_by_card_charge,60,57,2
top_up_reverted,pending_top_up,61,47,2
transfer_not_received_by_recipient,transfer_timing,66,67,2
transfer_timing,pending_transfer,67,48,2
verify_my_identity,unable_to_verify_identity,69,68,2
why_verify_identity,verify_my_identity,74,69,2
wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge,76,19,2
activate_my_card,card_linking,0,13,1
age_limit,balance_not_updated_after_cheque_or_cash_deposit,1,6,1
atm_support,declined_cash_withdrawal,3,26,1
atm_support,pending_cash_withdrawal,3,46,1
automatic_top_up,top_up_by_card_charge,4,57,1
automatic_top_up,top_up_by_cash_or_cheque,4,58,1
balance_not_updated_after_bank_transfer,balance_not_updated_after_cheque_or_cash_deposit,5,6,1
balance_not_updated_after_bank_transfer,beneficiary_not_allowed,5,7,1
balance_not_updated_after_bank_transfer,pending_transfer,5,48,1
balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,5,66,1
balance_not_updated_after_bank_transfer,transfer_timing,5,67,1
balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,6,5,1
beneficiary_not_allowed,balance_not_updated_after_bank_transfer,7,5,1
beneficiary_not_allowed,declined_transfer,7,27,1
beneficiary_not_allowed,top_up_by_bank_transfer_charge,7,56,1
beneficiary_not_allowed,transfer_into_account,7,65,1
cancel_transfer,failed_transfer,8,35,1
cancel_transfer,transfer_fee_charged,8,64,1
